Country,Education,Experience,Salary
Sweden,Master,4.0,51552.0
Spain,Bachelor,5.0,46482.0
Germany,Master,6.0,77290.0
Turkey,Bachelor,2.0,17748.0
Canada,Bachelor,6.0,46135.0
France,Master,2.0,38915.0
Germany,Master,18.0,77831.0
Switzerland,Master,5.0,81319.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,21.0,68507.0
Russian Federation,Master,16.0,37752.0
Israel,Bachelor,2.0,122580.0
Turkey,Bachelor,2.0,11832.0
Germany,Master,10.0,60535.0
United States of America,Bachelor,0.5,103000.0
France,Master,3.0,25944.0
Brazil,Bachelor,15.0,60480.0
United Kingdom of Great Britain and Northern Ireland,Master,12.0,64630.0
Italy,Master,16.0,54049.0
Russian Federation,Post Grad,3.0,22644.0
United States of America,Bachelor,5.0,130000.0
Canada,No College,10.0,71850.0
Spain,Master,10.0,58373.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,18.0,129266.0
Netherlands,Master,2.0,25944.0
United States of America,Bachelor,15.0,105000.0
Poland,Bachelor,8.0,45564.0
Canada,Post Grad,8.0,151263.0
Sweden,Bachelor,3.0,40500.0
Canada,No College,17.0,95295.0
United States of America,Post Grad,1.0,100000.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,14.0,61398.0
Netherlands,No College,10.0,108098.0
Poland,Bachelor,4.0,27336.0
Switzerland,Master,26.0,134176.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,64630.0
Spain,No College,8.0,38915.0
Italy,Master,2.0,14268.0
Netherlands,Bachelor,2.0,43239.0
United States of America,Bachelor,6.0,140000.0
France,Master,2.0,45401.0
Israel,No College,5.0,101916.0
United States of America,Bachelor,1.0,54000.0
Netherlands,No College,5.0,36324.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,3.0,38778.0
Canada,Master,5.0,63530.0
United States of America,Bachelor,34.0,200000.0
Germany,Master,11.0,97288.0
Russian Federation,Post Grad,5.0,75492.0
France,Master,5.0,49725.0
United Kingdom of Great Britain and Northern Ireland,Bachelor,25.0,70047.0
United States of America,Bachelor,4.0,98500.0
United States of America,Bachelor,24.0,115000.0
Switzerland,Master,6.0,43908.0
Israel,Bachelor,4.0,105072.0
United Kingdom of Great Britain and Northern Ireland,Post Grad,22.0,71093.0
Canada,Master,3.0,98321.0
Italy,No College,14.0,54049.0
Russian Federation,Bachelor,6.0,56616.0
United Kingdom of Great Britain and Northern Ireland,No College,25.0,60752.0
Poland,Bachelor,3.0,16704.0
United Kingdom of Great Britain and Northern Ireland,Master,13.0,84019.0
United States of America,Master,9.0,70000.0
Russian Federation,Master,2.0,30192.0
United States of America,No College,5.0,90000.0
Netherlands,Bachelor,6.0,50592.0
United States of America,Master,2.0,193000.0
